,Duration (in seconds),Gender,Age,Location,Education,Triplet,Complexity,Condition,P(A1),P(A2),P(A3),P(¬A1),P(¬A2),P(¬A3),P(A2|A1),P(A2|¬A1),P(¬A2|A1),P(¬A2|¬A1),P(A1 ∩ A2),P(A1 ∩ ¬A2),P(¬A1 ∩ A2),P(¬A1 ∩ ¬A2),P(A1 ∪ A2),P(A1 ∪ ¬A2),P(¬A1 ∪ A2),P(¬A1 ∪ ¬A2),P(A3|A2),P(A3|¬A2),P(¬A3|A2),P(¬A3|¬A2),P(A2 ∩ A3),P(A2 ∩ ¬A3),P(¬A2 ∩ A3),P(¬A2 ∩ ¬A3),P(A2 ∪ A3),P(A2 ∪ ¬A3),P(¬A2 ∪ A3),P(¬A2 ∪ ¬A3),P(A1|A3),P(A1|¬A3),P(¬A1|A3),P(¬A1|¬A3),P(A3 ∩ A1),P(A3 ∩ ¬A1),P(¬A3 ∩ A1),P(¬A3 ∩ ¬A1),P(A3 ∪ A1),P(A3 ∪ ¬A1),P(¬A3 ∪ A1),P(¬A3 ∪ ¬A1),P(A1|A2),P(¬A1|A2),P(A1|¬A2),P(¬A1|¬A2),P(A2 ∩ A1),P(¬A2 ∩ A1),P(A2 ∩ ¬A1),P(¬A2 ∩ ¬A1),P(A2 ∪ A1),P(¬A2 ∪ A1),P(A2 ∪ ¬A1),P(¬A2 ∪ ¬A1),P(A2|A3),P(¬A2|A3),P(A2|¬A3),P(¬A2|¬A3),P(A3 ∩ A2),P(¬A3 ∩ A2),P(A3 ∩ ¬A2),P(¬A3 ∩ ¬A2),P(A3 ∪ A2),P(¬A3 ∪ A2),P(A3 ∪ ¬A2),P(¬A3 ∪ ¬A2),P(A3|A1),P(¬A3|A1),P(A3|¬A1),P(¬A3|¬A1),P(A1 ∩ A3),P(¬A1 ∩ A3),P(A1 ∩ ¬A3),P(¬A1 ∩ ¬A3),P(A1 ∪ A3),P(¬A1 ∪ A3),P(A1 ∪ ¬A3),P(¬A1 ∪ ¬A3),CRT Score,Pay,A1,A2,A3
222,489,Male,25-34,Alabama,Masters,1,High,T1 HC,98,83,94,62,76,75,98,92,84,70,84,96,80,87,97,66,87,86,96,93,70,84,87,93,93,90,93,91,93,88,96,97,90,76,96,96,86,89,84,93,82,88,93,88,97,93,91,89,90,86,73,83,73,74,90,87,98,89,94,91,85,98,68,62,91,61,95,89,86,93,87,95,96,91,67,73,78,92,0,About right,Ohio,Michigan,Missouri
223,549,Male,35-44,Ohio,Senior (4 years of college),1,High,T1 HC,100,100,100,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,100,0,0,0,100,0,0,0,3,About right,Ohio,Michigan,Missouri
224,640,Male,35-44,Texas,Senior (4 years of college),1,High,T1 HC,72,71,92,28,20,20,76,82,30,29,83,19,18,8,89,29,29,30,88,81,21,30,82,9,19,9,71,29,50,29,81,60,29,34,81,23,9,8,90,50,31,29,74,41,54,26,80,27,26,21,81,24,23,29,72,40,50,41,86,29,30,20,80,23,25,24,91,30,50,35,80,30,32,21,82,24,24,24,2,About right,Ohio,Michigan,Missouri
225,744,Female,35-44,Florida,Junior (3 years of college),1,High,T1 HC,48,40,52,50,50,30,47,48,54,55,49,52,46,52,57,70,72,75,100,100,45,0,46,40,100,0,66,50,90,58,48,52,51,52,50,64,0,0,74,51,30,56,51,51,52,51,43,52,50,51,48,52,48,48,50,53,47,56,46,0,60,15,50,47,66,55,100,0,100,4,68,60,0,15,49,61,40,47,0,Inadequate,Ohio,Michigan,Missouri
226,642,Male,25-34,Texas,Junior (3 years of college),1,High,T1 HC,43,38,62,69,66,36,75,59,77,35,18,18,91,81,84,95,43,90,45,71,38,37,39,38,90,46,35,91,40,59,80,43,60,75,66,81,62,66,70,73,38,46,25,75,34,26,59,98,69,25,24,71,76,40,43,89,64,58,88,43,73,42,96,70,42,40,57,43,82,86,83,35,83,45,75,62,76,65,0,About right,Ohio,Michigan,Missouri
227,764,Male,35-44,Minnesota,Senior (4 years of college),1,High,T1 HC,70,45,90,30,55,10,48,2,55,100,41,50,2,30,85,98,50,56,100,80,0,20,44,0,55,1,99,46,99,57,70,3,30,80,95,30,0,0,99,94,75,10,100,2,60,34,40,40,0,5,76,86,49,58,45,55,0,100,42,0,55,1,95,46,98,57,90,3,50,50,68,5,1,1,99,92,0,31,3,About right,Ohio,Michigan,Missouri
228,459,Female,45-54,Pennsylvania,Masters,1,High,T1 HC,66,96,25,85,32,75,69,88,32,60,44,2,42,17,92,11,92,66,61,43,73,68,60,91,14,26,94,66,32,79,42,41,64,26,39,63,57,64,82,62,57,21,74,74,93,66,72,71,62,87,44,69,67,27,92,30,90,5,20,75,10,32,89,62,14,33,74,71,68,84,56,40,92,19,73,92,89,90,2,Fairly generous,Ohio,Michigan,Missouri
229,398,Female,25-34,Georgia,Masters,1,High,T1 HC,34,79,65,74,95,67,79,66,43,69,17,91,49,89,73,89,72,74,73,40,35,38,20,17,97,21,32,17,91,94,66,64,63,77,87,89,91,3,84,82,21,80,27,77,84,33,59,87,88,96,67,31,21,69,17,38,78,80,19,16,14,38,89,32,93,31,79,2,83,19,86,88,27,27,89,89,30,9,1,Inadequate,Ohio,Michigan,Missouri
230,671,Female,35-44,New Jersey,Masters,1,High,T1 HC,98,100,93,97,97,93,96,100,99,100,76,84,100,100,100,100,95,93,100,97,98,98,99,100,99,87,100,98,100,87,95,97,100,100,96,97,94,81,97,87,89,92,100,100,95,100,98,95,100,91,98,100,97,98,90,95,100,100,88,92,100,100,100,98,89,94,100,94,75,94,95,99,97,94,85,88,96,94,0,About right,Ohio,Michigan,Missouri
231,793,Female,55-64,California,Senior (4 years of college),1,High,T1 HC,50,24,91,50,78,8,31,16,77,87,34,71,29,50,50,77,57,52,98,92,2,2,34,1,78,1,93,33,76,77,50,20,50,78,50,50,0,1,96,50,50,50,68,39,47,52,29,70,29,50,50,77,50,77,32,78,17,98,31,2,79,2,94,32,97,77,95,1,93,2,50,50,1,2,95,50,50,50,3,About right,Ohio,Michigan,Missouri
