,Duration (in seconds),Gender,Age,Location,Education,Triplet,Complexity,Condition,P(A1),P(A2),P(A3),P(¬A1),P(¬A2),P(¬A3),P(A2|A1),P(A2|¬A1),P(¬A2|A1),P(¬A2|¬A1),P(A1 ∩ A2),P(A1 ∩ ¬A2),P(¬A1 ∩ A2),P(¬A1 ∩ ¬A2),P(A1 ∪ A2),P(A1 ∪ ¬A2),P(¬A1 ∪ A2),P(¬A1 ∪ ¬A2),P(A3|A2),P(A3|¬A2),P(¬A3|A2),P(¬A3|¬A2),P(A2 ∩ A3),P(A2 ∩ ¬A3),P(¬A2 ∩ A3),P(¬A2 ∩ ¬A3),P(A2 ∪ A3),P(A2 ∪ ¬A3),P(¬A2 ∪ A3),P(¬A2 ∪ ¬A3),P(A1|A3),P(A1|¬A3),P(¬A1|A3),P(¬A1|¬A3),P(A3 ∩ A1),P(A3 ∩ ¬A1),P(¬A3 ∩ A1),P(¬A3 ∩ ¬A1),P(A3 ∪ A1),P(A3 ∪ ¬A1),P(¬A3 ∪ A1),P(¬A3 ∪ ¬A1),P(A1|A2),P(¬A1|A2),P(A1|¬A2),P(¬A1|¬A2),P(A2 ∩ A1),P(¬A2 ∩ A1),P(A2 ∩ ¬A1),P(¬A2 ∩ ¬A1),P(A2 ∪ A1),P(¬A2 ∪ A1),P(A2 ∪ ¬A1),P(¬A2 ∪ ¬A1),P(A2|A3),P(¬A2|A3),P(A2|¬A3),P(¬A2|¬A3),P(A3 ∩ A2),P(¬A3 ∩ A2),P(A3 ∩ ¬A2),P(¬A3 ∩ ¬A2),P(A3 ∪ A2),P(¬A3 ∪ A2),P(A3 ∪ ¬A2),P(¬A3 ∪ ¬A2),P(A3|A1),P(¬A3|A1),P(A3|¬A1),P(¬A3|¬A1),P(A1 ∩ A3),P(¬A1 ∩ A3),P(A1 ∩ ¬A3),P(¬A1 ∩ ¬A3),P(A1 ∪ A3),P(¬A1 ∪ A3),P(A1 ∪ ¬A3),P(¬A1 ∪ ¬A3),CRT Score,Pay,A1,A2,A3
513,806,Male,55-64,Washington,Junior (3 years of college),1,Low,T1 LC,53,20,60,50,75,46,19,10,70,75,4,76,11,53,48,63,15,76,69,71,70,44,10,10,81,46,62,10,70,78,47,46,47,48,44,53,48,46,49,54,49,52,47,52,47,53,12,49,13,54,47,71,72,76,15,75,14,75,10,12,76,48,57,12,75,75,59,13,59,15,50,61,44,48,61,61,45,60,2,Fairly generous,Ohio,Michigan,Missouri
514,803,Female,45-54,Texas,Senior (4 years of college),1,Low,T1 LC,31,37,26,95,92,85,36,39,82,87,37,89,80,89,20,71,82,100,26,69,72,90,25,66,66,93,32,81,77,100,24,81,79,98,30,83,69,89,33,80,88,85,75,73,73,75,38,72,73,69,30,72,72,80,34,82,79,99,35,79,79,98,30,72,82,81,31,46,79,95,27,86,77,89,25,79,81,93,1,Fairly generous,Ohio,Michigan,Missouri
515,836,Male,35-44,Colorado,Senior (4 years of college),1,Low,T1 LC,84,84,88,76,86,70,81,85,84,82,89,83,86,80,94,92,91,86,84,83,84,87,84,82,87,86,91,89,87,87,90,83,92,94,87,83,87,85,89,86,90,87,86,87,86,90,88,89,88,88,88,88,88,87,89,87,80,90,92,90,89,89,90,90,89,89,88,88,90,90,93,93,84,88,90,89,89,87,2,Fairly generous,Ohio,Michigan,Missouri
516,898,Female,35-44,Ohio,Junior (3 years of college),1,Low,T1 LC,71,29,25,33,76,77,47,39,50,73,21,50,42,63,62,40,61,76,63,44,50,61,33,60,50,58,64,50,60,50,71,64,57,81,34,50,72,50,50,50,50,50,62,50,62,50,36,50,50,50,71,50,50,50,61,50,50,50,31,50,50,50,50,50,50,50,40,54,50,72,50,50,50,60,50,72,62,73,1,About right,Ohio,Michigan,Missouri
517,522,Male,25-34,Florida,Sophomore (2 years of college),1,Low,T1 LC,75,72,59,25,35,38,67,68,38,41,64,42,37,26,86,41,69,43,60,61,41,43,55,39,39,24,68,45,50,43,59,61,38,38,57,40,45,26,67,42,64,49,62,40,57,41,60,35,38,29,70,64,66,44,69,40,58,42,59,33,41,26,74,48,51,44,64,43,57,42,59,32,37,23,70,68,41,43,3,Inadequate,Ohio,Michigan,Missouri
518,717,Female,25-34,Texas,Other professional,1,Low,T1 LC,71,68,80,69,64,66,79,66,61,68,62,65,66,67,66,55,54,68,59,63,63,62,62,67,59,66,56,66,61,56,57,60,71,77,64,54,64,63,57,60,58,61,73,65,63,66,64,59,63,60,65,72,69,66,69,68,64,68,63,62,64,64,58,68,63,59,61,71,73,80,62,69,66,68,70,64,64,70,0,About right,Ohio,Michigan,Missouri
519,972,Male,25-34,Texas,Senior (4 years of college),1,Low,T1 LC,28,23,70,65,63,26,34,35,64,67,15,69,35,28,63,68,31,80,34,65,30,36,12,4,70,9,80,6,86,79,29,25,61,29,18,62,13,26,82,72,26,79,71,32,68,79,26,62,27,33,71,62,32,75,32,67,67,73,14,21,66,41,81,15,75,71,83,67,79,73,35,63,22,35,63,65,28,57,1,About right,Ohio,Michigan,Missouri
520,1015,Male,25-34,Connecticut,Senior (4 years of college),1,Low,T1 LC,35,50,50,59,16,31,32,32,56,50,20,61,37,50,50,50,35,60,73,71,32,30,19,23,73,35,50,34,50,50,24,23,68,66,56,48,50,30,50,71,25,50,18,71,28,72,36,50,50,34,50,50,61,50,59,39,59,42,50,50,50,28,62,40,39,38,62,28,71,33,24,75,14,13,66,79,22,63,2,Fairly generous,Ohio,Michigan,Missouri
521,1128,Male,25-34,California,Sophomore (2 years of college),1,Low,T1 LC,100,100,64,26,19,22,58,44,22,30,100,43,36,10,62,37,38,22,74,39,22,47,75,30,42,23,67,39,42,42,68,73,34,39,89,45,45,13,78,44,47,26,85,26,44,10,85,36,25,15,72,30,31,17,28,23,29,22,81,43,43,13,74,31,30,24,80,36,29,20,79,31,29,26,79,31,41,19,2,About right,Ohio,Michigan,Missouri
522,827,Male,25-34,District of Columbia,Senior (4 years of college),1,Low,T1 LC,34,30,70,88,92,93,40,29,81,89,41,61,61,82,41,71,64,90,41,41,82,76,34,60,46,99,39,59,62,93,39,42,79,72,25,90,59,91,37,57,55,91,66,64,75,71,14,41,46,81,16,42,45,90,44,78,40,88,42,40,83,87,45,41,57,41,15,57,44,79,36,44,66,88,25,42,61,96,1,Fairly generous,Ohio,Michigan,Missouri
523,844,Male,35-44,Missouri,Masters,1,Low,T1 LC,26,30,72,76,64,40,76,25,65,87,18,34,23,26,88,71,34,79,73,88,73,40,80,39,82,20,88,77,62,68,84,41,68,90,72,62,30,12,90,93,71,69,77,21,25,90,65,79,31,38,83,94,92,70,87,67,35,79,35,67,76,32,67,74,83,37,85,29,27,85,67,69,12,77,82,90,77,82,0,About right,Ohio,Michigan,Missouri
524,749,Female,25-34,New Jersey,Senior (4 years of college),1,Low,T1 LC,80,85,68,33,65,52,84,56,59,64,43,63,56,59,52,55,38,79,71,35,31,67,45,70,55,69,46,59,39,61,80,62,53,59,75,59,46,72,79,53,55,43,56,70,48,69,55,35,62,40,65,48,42,33,72,63,62,45,56,70,58,47,60,55,60,46,70,60,72,48,77,41,71,60,68,59,60,50,1,About right,Ohio,Michigan,Missouri
525,1358,Female,55-64,Pennsylvania,Senior (4 years of college),1,Low,T1 LC,82,65,62,77,72,66,77,17,20,80,37,50,50,67,43,42,56,79,40,39,72,74,37,50,44,82,38,50,50,76,67,37,54,72,12,41,37,76,33,60,53,82,65,43,30,75,26,36,34,78,32,45,44,75,72,29,32,81,37,33,33,65,34,34,50,82,45,65,35,64,9,37,39,70,31,41,37,80,0,Fairly generous,Ohio,Michigan,Missouri
526,873,Male,55-64,Colorado,Sophomore (2 years of college),1,Low,T1 LC,47,43,48,53,61,56,51,42,48,66,42,45,47,52,51,51,57,66,52,48,48,53,41,42,49,52,48,53,63,62,52,46,48,57,42,47,47,52,48,61,62,69,52,48,44,60,43,47,43,53,48,67,65,71,48,53,41,53,41,44,48,54,47,52,62,67,52,49,44,68,41,48,48,59,48,61,61,68,3,Fairly generous,Ohio,Michigan,Missouri
527,339,Male,25-34,Texas,Senior (4 years of college),1,Low,T1 LC,38,63,61,67,69,73,41,34,63,67,38,36,29,27,55,69,73,65,42,44,62,61,54,70,43,54,58,57,56,71,42,35,68,61,36,28,29,43,60,57,58,68,41,64,62,62,58,44,38,47,56,61,60,67,54,47,47,55,47,36,48,40,67,48,35,68,54,45,45,55,56,41,41,47,69,63,63,69,3,Fairly generous,Ohio,Michigan,Missouri
528,947,Male,35-44,New York,Junior (3 years of college),1,Low,T1 LC,54,45,60,50,55,44,61,53,44,51,53,16,32,17,88,36,60,18,71,59,36,56,62,42,19,9,78,37,30,28,62,41,27,57,63,54,31,22,79,70,36,60,40,67,29,75,35,12,80,18,91,9,89,87,89,3,10,28,74,54,11,20,78,71,70,12,77,22,60,38,39,76,10,16,80,72,17,81,1,About right,Ohio,Michigan,Missouri
529,415789,Male,25-34,Illinois,No high school education,1,Low,T1 LC,50,50,60,50,50,47,54,52,48,50,50,50,50,50,45,50,50,50,52,54,50,53,50,50,50,50,55,50,51,52,50,50,50,50,51,50,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,2,About right,Ohio,Michigan,Missouri
530,970,Male,45-54,Ohio,Prefer not to say,1,Low,T1 LC,53,46,53,48,52,48,48,45,51,58,40,69,42,45,61,86,35,65,73,59,31,48,42,41,65,47,58,45,64,55,59,53,47,47,61,57,48,39,76,53,54,25,55,48,53,48,47,66,35,46,67,81,48,58,48,57,47,65,45,37,73,47,59,43,71,56,61,47,56,48,58,48,48,46,86,57,61,47,3,About right,Ohio,Michigan,Missouri
531,949,Female,25-34,Texas,Senior (4 years of college),1,Low,T1 LC,46,40,51,59,63,32,45,18,57,80,46,68,41,42,72,65,73,71,100,81,14,17,28,15,93,39,50,32,50,50,67,30,34,84,74,19,25,12,50,50,50,50,90,8,72,46,24,86,14,52,50,50,50,50,54,67,12,92,52,26,76,39,50,50,51,50,74,32,30,69,87,36,34,15,50,50,36,40,3,About right,Ohio,Michigan,Missouri
532,1502,Male,25-34,Florida,Senior (4 years of college),1,Low,T1 LC,100,100,100,0,0,0,100,100,0,0,100,50,50,0,100,50,50,0,100,100,0,0,50,50,50,0,100,50,50,0,100,100,0,0,100,50,100,0,100,50,50,0,100,50,100,0,100,50,50,50,100,51,51,0,100,0,100,0,100,50,50,0,100,50,50,0,100,50,50,0,100,50,50,50,100,50,50,0,0,About right,Ohio,Michigan,Missouri
533,860,Male,25-34,Florida,Senior (4 years of college),1,Low,T1 LC,40,40,72,62,62,37,50,37,55,64,42,46,45,58,46,60,60,64,69,63,40,45,50,41,69,50,76,44,73,60,46,38,58,64,43,59,40,40,75,74,42,60,50,50,39,65,40,43,44,58,41,59,60,60,43,58,38,66,42,42,59,42,65,42,59,59,74,40,65,45,43,66,41,42,71,70,42,58,3,Inadequate,Ohio,Michigan,Missouri
534,747,Female,35-44,Alabama,Senior (4 years of college),1,Low,T1 LC,53,10,91,47,92,11,17,2,81,100,2,76,4,74,50,99,61,99,98,97,0,1,11,0,94,1,96,9,96,93,50,50,50,50,50,61,0,2,91,61,0,50,62,41,50,61,20,70,29,70,62,91,50,84,6,91,6,93,9,0,95,0,92,9,97,84,90,1,93,2,50,61,0,0,93,97,41,48,3,About right,Ohio,Michigan,Missouri
535,585,Female,25-34,Louisiana,Masters,1,Low,T1 LC,73,99,92,92,85,84,77,81,93,81,89,79,79,78,84,94,88,97,82,90,71,86,92,73,79,85,91,81,93,86,96,75,79,91,77,73,81,81,88,71,89,85,73,78,86,76,71,97,81,70,76,69,82,78,72,77,76,86,86,70,71,74,82,67,98,63,68,88,73,95,77,67,79,75,84,75,74,75,1,Fairly generous,Ohio,Michigan,Missouri
536,154,Female,25-34,New York,Junior (3 years of college),1,Low,T1 LC,80,57,78,63,75,53,67,86,75,62,52,39,43,47,64,62,67,81,33,42,81,64,52,50,57,66,67,62,44,39,60,66,61,77,55,71,65,45,65,70,47,54,65,72,66,57,65,53,54,61,61,53,45,57,52,64,65,60,55,56,67,76,50,76,54,36,40,58,46,61,60,81,71,34,56,60,48,77,2,About right,Ohio,Michigan,Missouri
537,611,Male,25-34,Georgia,Masters,1,Low,T1 LC,52,52,80,48,48,20,50,50,50,50,20,60,60,20,60,50,60,50,95,60,10,30,59,1,61,2,50,61,61,50,50,5,50,82,29,50,8,1,68,57,59,50,60,40,40,60,40,30,30,40,50,50,50,50,50,47,19,70,31,20,57,5,50,50,52,50,82,3,71,40,50,50,10,8,50,62,47,40,3,About right,Ohio,Michigan,Missouri
538,1843,Male,25-34,Alabama,Senior (4 years of college),1,Low,T1 LC,67,67,68,88,66,43,70,40,45,72,69,78,74,70,78,71,76,85,87,85,77,92,80,79,90,79,79,83,84,87,71,71,86,76,78,68,72,73,68,77,74,76,75,89,79,67,73,69,77,70,65,62,72,63,73,78,82,72,61,76,58,69,59,58,62,62,66,68,60,62,62,61,68,61,61,57,62,60,2,About right,Ohio,Michigan,Missouri
539,1117,Male,25-34,Louisiana,Senior (4 years of college),1,Low,T1 LC,50,40,62,28,57,90,50,39,69,71,33,58,74,84,45,74,22,50,63,62,29,77,47,61,56,43,83,57,45,61,68,81,50,51,73,66,41,45,50,52,68,32,30,66,75,50,68,90,50,48,57,58,37,50,80,62,71,50,70,50,44,61,66,34,50,12,78,44,67,73,62,82,38,50,50,50,50,40,2,About right,Ohio,Michigan,Missouri
540,1170,Male,35-44,California,Senior (4 years of college),1,Low,T1 LC,75,84,76,56,65,72,75,71,83,56,95,41,73,57,65,44,68,64,64,74,46,60,63,71,81,47,83,46,67,54,83,84,41,40,80,66,79,46,87,63,85,42,66,72,72,45,78,90,67,70,84,78,72,43,36,71,76,89,73,72,78,83,61,67,64,43,62,60,63,40,70,78,76,41,77,81,78,43,0,Fairly generous,Ohio,Michigan,Missouri
541,699,Male,16-24,California,Masters,1,Low,T1 LC,47,50,50,53,50,50,50,50,50,50,50,50,50,50,50,49,53,53,50,50,50,50,50,50,50,50,50,50,50,50,47,47,53,53,47,53,47,50,50,53,50,53,47,53,47,53,47,47,50,50,50,50,53,53,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,50,47,50,50,53,50,53,2,About right,Ohio,Michigan,Missouri
542,582,Male,35-44,New Hampshire,Sophomore (2 years of college),1,Low,T1 LC,42,72,81,35,73,27,81,73,32,65,65,78,25,38,30,69,67,68,64,52,25,33,69,26,83,25,53,71,36,64,34,35,69,67,67,25,68,59,78,36,29,39,67,38,23,61,21,68,21,69,60,73,78,29,62,41,73,42,24,72,28,59,74,71,29,33,37,67,79,69,78,29,69,73,69,38,62,37,3,About right,Ohio,Michigan,Missouri
543,605,Male,35-44,Texas,Senior (4 years of college),1,Low,T1 LC,66,4,27,35,71,70,11,10,88,87,10,92,7,65,71,94,29,85,61,65,39,35,4,6,20,32,66,32,65,84,83,65,43,53,76,41,77,22,91,77,82,62,87,42,82,56,18,97,5,63,60,83,43,80,16,79,25,83,5,15,59,58,53,43,37,71,87,20,66,38,88,60,70,20,90,71,71,55,2,About right,Ohio,Michigan,Missouri
544,670,Male,45-54,Ohio,Senior (4 years of college),1,Low,T1 LC,8,14,50,90,88,50,32,16,88,82,4,18,20,87,13,96,92,96,9,8,86,91,9,17,19,88,19,92,91,88,10,10,90,90,11,16,18,88,13,88,91,95,9,89,10,90,6,9,16,89,12,90,89,88,13,89,13,87,10,8,12,89,14,91,88,96,7,88,10,88,13,11,11,87,14,90,87,91,3,Inadequate,Ohio,Michigan,Missouri
545,1972,Female,25-34,Virginia,Senior (4 years of college),1,Low,T1 LC,65,64,63,42,42,38,64,56,61,53,68,44,63,40,66,38,47,43,71,44,38,55,42,44,38,27,45,39,53,32,77,46,44,65,45,43,45,44,48,45,46,47,71,44,37,56,73,34,56,41,60,44,65,46,62,40,38,35,71,41,34,38,63,45,45,43,82,44,58,67,64,46,46,45,81,44,44,57,2,Inadequate,Ohio,Michigan,Missouri
546,1682,Female,25-34,Virginia,Senior (4 years of college),1,Low,T1 LC,62,60,67,65,64,61,58,54,56,60,57,56,58,56,56,60,55,56,60,60,60,62,58,58,57,59,61,58,65,64,59,62,54,58,56,55,58,60,56,58,60,56,60,59,68,60,61,60,57,63,65,58,57,61,64,57,63,62,57,63,62,70,60,62,57,57,59,59,60,61,56,60,57,58,66,59,55,53,2,About right,Ohio,Michigan,Missouri
547,1142,Male,45-54,California,Senior (4 years of college),1,Low,T1 LC,66,61,58,63,65,71,54,60,76,73,56,58,59,74,76,63,62,72,63,64,79,79,69,66,72,70,70,71,72,70,62,73,65,81,84,67,67,74,71,71,65,68,60,77,73,78,74,67,64,60,67,71,61,81,69,74,66,67,74,76,71,77,74,73,64,68,72,80,76,79,70,70,71,72,70,75,72,76,0,Fairly generous,Ohio,Michigan,Missouri
548,1400,Female,35-44,Alabama,Junior (3 years of college),1,Low,T1 LC,29,38,35,74,69,73,60,22,36,84,23,51,42,65,28,34,29,74,58,82,69,67,29,34,33,79,31,37,32,83,64,40,38,76,33,34,34,77,36,37,36,76,36,38,42,74,41,39,40,77,35,33,42,68,35,65,38,73,37,40,39,69,38,39,41,65,38,41,44,72,38,41,43,65,36,39,56,64,2,About right,Ohio,Michigan,Missouri
549,874,Female,25-34,Florida,Senior (4 years of college),1,Low,T1 LC,87,85,81,100,100,100,81,71,100,99,80,96,95,100,82,100,95,99,75,80,98,100,81,91,91,100,85,94,92,99,75,75,98,100,81,92,90,100,81,91,90,100,83,100,77,100,78,93,90,100,81,89,84,100,80,96,83,100,80,81,75,100,84,86,87,100,78,81,81,100,82,84,82,100,77,88,75,100,2,Fairly generous,Ohio,Michigan,Missouri
550,1061,Female,45-54,California,Masters,1,Low,T1 LC,77,71,69,75,80,85,75,83,72,68,63,77,45,76,62,44,40,60,63,62,63,70,69,68,66,70,73,100,80,74,71,73,74,60,73,67,84,89,71,57,56,71,62,69,77,77,72,84,68,76,73,75,71,79,66,53,60,65,57,56,74,80,69,71,77,77,75,85,78,80,100,60,64,59,59,68,72,49,0,Fairly generous,Ohio,Michigan,Missouri
551,2254,Male,25-34,New York,Senior (4 years of college),1,Low,T1 LC,88,88,93,72,89,84,73,84,82,81,82,73,86,73,73,75,79,76,69,89,70,78,84,80,70,76,82,81,73,82,79,76,72,67,70,72,70,62,72,86,71,68,71,76,74,77,85,67,73,70,68,80,68,74,68,78,79,71,84,83,81,76,73,78,81,74,79,84,82,82,74,75,78,86,72,76,72,76,0,About right,Ohio,Michigan,Missouri
552,1462,Female,45-54,Michigan,Masters,1,Low,T1 LC,90,60,100,10,50,0,60,50,50,50,60,55,45,11,100,60,40,60,100,100,0,0,60,0,50,0,100,50,50,50,80,100,10,1,94,2,1,0,100,95,95,1,97,5,95,10,60,50,60,9,100,100,2,61,60,50,52,43,60,9,46,0,100,4,60,50,100,2,100,2,94,5,4,0,100,11,7,5,0,Fairly generous,Ohio,Michigan,Missouri
553,1114,Male,25-34,Pennsylvania,Sophomore (2 years of college),1,Low,T1 LC,61,45,46,45,52,57,47,46,55,53,48,61,46,47,53,58,48,53,48,52,50,46,47,49,54,49,52,50,54,60,58,54,45,48,49,47,58,48,52,46,54,51,57,46,54,48,48,62,47,44,54,56,47,49,58,55,46,53,50,47,48,47,52,49,57,55,53,45,51,47,47,45,56,46,58,47,56,46,0,About right,Ohio,Michigan,Missouri
554,837,Female,35-44,Florida,Senior (4 years of college),1,Low,T1 LC,71,27,42,86,81,65,40,42,88,70,58,61,69,76,66,80,70,77,65,66,87,65,67,65,64,65,36,64,63,56,44,41,62,78,72,76,57,87,67,76,74,79,67,70,77,85,75,76,71,70,73,76,77,71,67,75,72,71,69,69,70,71,75,71,58,70,66,77,76,71,67,72,67,69,63,72,65,67,1,About right,Ohio,Michigan,Missouri
555,1659,Male,35-44,Wisconsin,Senior (4 years of college),1,Low,T1 LC,56,45,66,46,54,44,46,31,57,71,35,50,24,44,46,60,66,66,62,58,8,6,43,4,64,4,63,47,82,56,56,33,46,82,56,46,10,5,85,78,56,46,63,38,54,47,38,55,29,40,56,58,30,58,45,54,33,77,46,7,58,5,89,5,87,55,87,4,88,5,55,57,5,6,88,90,57,57,3,About right,Ohio,Michigan,Missouri
556,612,Male,25-34,Florida,Masters,1,Low,T1 LC,68,55,59,34,40,46,71,45,41,55,55,38,42,39,52,34,35,46,66,48,38,52,62,38,42,45,47,42,46,35,65,58,42,47,63,46,45,40,48,46,43,42,54,45,54,53,58,42,43,42,55,47,44,44,57,38,52,44,59,42,54,46,49,42,53,44,46,54,50,46,57,44,54,37,48,45,47,42,2,About right,Ohio,Michigan,Missouri
557,2533,Male,35-44,Kentucky,High School,1,Low,T1 LC,22,31,11,73,72,64,32,63,74,71,7,29,25,70,53,30,21,39,30,33,70,76,70,72,74,69,34,64,68,80,78,27,28,73,22,33,68,69,25,37,32,35,39,31,33,35,33,34,39,37,36,62,68,90,31,28,31,73,70,30,35,78,23,78,35,24,20,20,30,80,18,23,71,71,20,67,33,87,3,About right,Ohio,Michigan,Missouri
558,672,Female,25-34,Alabama,Senior (4 years of college),1,Low,T1 LC,84,87,86,15,0,10,86,25,90,14,81,52,32,19,74,65,50,25,83,75,32,30,79,65,53,27,73,72,39,34,79,50,47,34,45,50,47,50,70,50,46,43,75,52,46,41,57,35,57,30,65,39,57,41,56,56,43,33,58,46,50,37,59,43,60,40,68,52,45,41,54,51,55,37,61,46,54,36,0,About right,Ohio,Michigan,Missouri
559,2663,Male,16-24,Georgia,Senior (4 years of college),1,Low,T1 LC,24,84,36,62,23,20,0,0,97,100,8,14,17,23,30,28,25,29,14,16,20,20,15,33,15,9,22,29,22,19,25,29,20,25,26,24,26,26,22,25,25,24,27,28,26,21,26,21,22,25,26,26,30,29,23,29,30,30,29,26,25,27,26,24,24,24,23,20,27,25,30,25,30,30,29,21,29,23,3,About right,Ohio,Michigan,Missouri
560,2244,Female,25-34,New York,Senior (4 years of college),1,Low,T1 LC,89,91,84,71,62,59,74,57,54,78,88,60,80,56,86,67,65,76,89,63,64,65,78,68,78,70,73,81,65,66,80,85,71,69,66,82,78,78,83,88,87,68,66,87,71,75,81,69,75,82,82,76,76,74,83,66,75,78,72,78,72,69,63,70,46,66,76,82,81,65,74,64,81,58,73,54,71,69,2,Fairly generous,Ohio,Michigan,Missouri
561,1572,Female,25-34,Maryland,Masters,1,Low,T1 LC,64,7,98,29,84,2,50,2,50,99,62,41,13,71,65,59,26,77,100,87,0,4,37,0,78,7,98,24,91,69,61,100,39,100,50,36,1,1,50,31,66,5,16,69,80,75,13,22,28,69,57,64,66,40,30,66,0,100,35,67,67,76,36,51,40,40,100,29,50,67,25,41,25,66,22,21,21,23,2,About right,Ohio,Michigan,Missouri
562,400,Female,35-44,New York,Senior (4 years of college),1,Low,T1 LC,0,61,69,100,29,34,79,0,25,84,25,19,92,24,86,22,79,92,84,31,83,94,27,82,32,25,76,36,73,82,23,11,87,88,8,91,10,88,77,93,21,82,31,92,9,93,8,13,94,87,24,20,100,100,24,36,30,35,16,78,78,44,100,100,84,100,100,28,93,90,10,94,15,37,20,100,25,100,1,About right,Ohio,Michigan,Missouri
563,2031,Male,45-54,Pennsylvania,Senior (4 years of college),1,Low,T1 LC,65,78,92,71,90,100,78,60,70,69,71,57,86,75,63,82,70,78,81,69,58,67,69,83,72,65,66,71,66,88,45,5,25,23,19,15,39,26,23,24,32,31,41,0,42,23,27,26,30,29,61,76,32,65,76,76,13,71,75,73,81,72,74,77,73,67,17,57,30,41,37,21,31,37,13,34,30,43,0,Fairly generous,Ohio,Michigan,Missouri
564,1983,Female,45-54,Tennessee,Senior (4 years of college),1,Low,T1 LC,33,47,54,63,50,50,50,50,50,50,24,33,58,54,53,46,76,89,50,50,58,56,30,51,55,55,47,50,50,82,27,40,66,80,19,70,38,66,50,79,27,92,30,71,35,83,17,38,55,82,40,34,90,93,37,56,38,58,36,47,56,65,33,40,76,81,24,75,15,65,9,50,78,84,34,94,50,97,3,About right,Ohio,Michigan,Missouri
565,648,Male,16-24,North Carolina,Senior (4 years of college),1,Low,T1 LC,85,87,94,22,13,4,90,100,9,0,83,9,14,0,100,69,73,14,73,100,11,7,80,15,15,0,100,41,19,14,93,100,5,0,84,12,16,0,100,87,90,17,95,0,100,0,81,9,9,0,100,100,96,8,99,6,100,0,96,6,7,0,100,98,100,9,97,11,100,0,93,10,10,0,100,100,100,7,3,About right,Ohio,Michigan,Missouri
566,1534,Female,35-44,Texas,High School,1,Low,T1 LC,43,68,81,71,45,30,39,38,83,70,39,52,55,61,62,45,48,80,77,66,17,29,48,9,66,9,82,28,93,96,67,56,80,83,56,76,11,10,97,96,32,75,53,82,59,73,41,64,52,38,65,65,45,87,38,76,68,72,34,10,82,15,95,6,98,96,77,10,81,13,50,93,13,9,97,96,28,91,2,About right,Ohio,Michigan,Missouri
567,1324,Male,45-54,Maryland,High School,1,Low,T1 LC,79,83,100,60,91,71,85,74,74,81,77,72,74,78,65,71,65,70,65,63,65,57,77,63,70,64,56,90,76,59,78,69,66,58,79,54,75,89,84,74,78,90,77,68,69,63,69,73,73,78,97,72,75,69,68,75,71,77,71,69,61,70,64,76,67,58,67,67,73,67,75,79,79,74,66,60,60,75,0,,Ohio,Michigan,Missouri
568,712,Male,25-34,Florida,Senior (4 years of college),1,Low,T1 LC,40,40,48,80,60,55,55,30,45,75,45,55,40,55,53,75,65,70,40,40,45,70,45,40,55,55,56,76,75,70,55,37,55,70,40,45,45,55,51,61,60,60,55,48,40,60,37,46,44,55,48,55,60,63,55,49,42,67,46,42,46,55,53,59,57,70,60,45,37,70,37,44,40,56,53,58,58,63,3,About right,Ohio,Michigan,Missouri
569,619,Male,25-34,Florida,Senior (4 years of college),1,Low,T1 LC,78,66,70,61,52,79,38,79,84,80,64,98,26,79,73,68,72,32,74,76,72,36,32,69,89,70,76,74,79,58,74,32,76,75,82,90,76,76,79,29,75,69,78,77,85,34,33,74,62,68,33,69,34,72,76,36,74,37,35,74,74,70,74,78,75,85,87,66,76,86,78,78,82,84,70,79,71,81,2,About right,Ohio,Michigan,Missouri
570,378,Female,25-34,New York,Sophomore (2 years of college),1,Low,T1 LC,70,10,93,20,95,6,15,2,90,97,4,79,3,23,92,87,12,100,100,90,0,9,0,0,99,2,99,0,100,98,79,9,10,96,88,22,5,6,99,97,11,18,100,0,88,32,0,97,16,25,92,96,1,97,20,94,0,100,12,2,95,2,100,9,98,97,100,0,79,27,88,30,3,2,99,92,78,26,3,Inadequate,Ohio,Michigan,Missouri
571,1459,Female,25-34,Illinois,Other professional,1,Low,T1 LC,37,38,68,42,61,72,36,62,32,68,40,50,56,58,70,51,60,42,68,38,64,29,37,39,59,63,70,38,69,66,55,35,72,68,66,62,57,34,32,68,68,39,32,70,37,66,65,21,42,72,62,66,33,68,70,30,66,34,84,61,37,34,73,41,48,23,57,33,41,63,63,68,72,36,84,34,34,72,0,About right,Ohio,Michigan,Missouri
572,331,Female,25-34,Mississippi,High School,1,Low,T1 LC,60,80,90,50,60,70,40,60,50,70,80,70,70,50,80,60,40,70,60,60,60,71,60,80,60,80,40,60,50,70,40,70,60,80,50,60,30,80,60,80,60,70,60,80,60,90,70,70,60,80,90,50,70,70,60,60,60,80,40,60,50,80,60,30,70,60,20,60,60,70,81,71,60,92,40,60,30,60,0,Fairly generous,Ohio,Michigan,Missouri
